Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude
"Les slides ne sont pas suffisants pour nos révisions et il y as peu d'exemples, c'est surtout quand je révise que je trouve que certains points sont abordés mais ne sont pas sur les slides",/,ARCH2,D,N,M,NE
Oui nous avons la chance de poser toutes nos questions et le professeur réponds et donne plus d'exemples il est magnifique j'aime bien,/,ARCH2,CO,P,J,A
"J'arrive bien a suivre avec le cours mais comme nous ne font pas de conception de circuits, chose laissée pour le td et que nous avons pas de corrigés type rend le module un peu lourd",/,ARCH2,G,N,M,NE
J'aime pas du tout la présentation de cours,/,PRST1,Pr,N,M,NE
Contenu pas riche en exemples ,/,PRST1,C,N,M,NE
Cours n'est pas trop organisé,/,PRST1,S,N,M,NE
 je trouve que le design est beau,/,PRST1,D,P,J,NE
pas de communication entre nous je m'ennuie rapidement,/,PRST1,CO,N,E,NE
Pour le cours je trouve que c'est de gaspillage de temps d'assister surtout avec ce prof ennuyant il m'énerve,/,PRST1,G,N,C,H
J'aime bien la façon de présenter ce cours,/,MA,Pr,P,J,NE
il est mieux d'ajouter au contenu des notes écrites au lieu justes les diagrammes (pour facilite la révision après ) ,/,MA,C,NE,NE,NE
Le cours est bien organisé et bien structuré,/,MA,S,P,J,NE
Il y a des parties ne contient pas de texte juste des schémas et j'aime pas ça,/,MA,D,N,M,NE
La communication est très active dans la séance ce qui rend le cours très riche et interactif j'aime bien la façon de parler du profs avec nous,/,MA,CO,P,J,A
Ce cours en ligne  est agréable j'ai apprécié le comportement du prof avec nous ,/,MA,G,P,J,A
 le prof donne des informations directes et claires avec des exemples j'aime bien ça méthode,/,SYS1,Pr,P,J,A
Contenu riche j'aime bien surtout qu'on a beaucoup d'exemples,/,SYS1,C,P,J,NE
La structure du cours est très bien faite,/,SYS1,S,P,J,NE
"Les couleurs sont bien choisies, le volume du texte est logique",/,SYS1,D,P,J,NE
"Très bonne communication, l'étudiant peut poser ses questions via les messages et aussi en activant le micro pour parler directement",/,SYS1,CO,P,J,NE
J'aime ce cours le prof me motive à bien suivre,/,SYS1,G,P,J,A
"Les slides ne sont pas bien présentés, le professeur ne détaille pas le contenu du cours et ne donne aucun exemple pratique et il est là juste pour lire c'est tout ",/,PGI,Pr,N,M,H
Contenu inutile vraiment ,/,PGI,C,N,M,NE
cours pas  structuré certains informations du cours sont redondantes.,/,PGI,S,N,M,NE
"beaucoup de texte, et peu d'images",/,PGI,D,N,M,NE
la communication est mal en ligne chacun de son côté ennuyé et le prof qui n'arrête pas de lire les slides jusqu'à la fin de la séance il s'en fout carrément,/,PGI,CO,N,E,H
"Le module ne doit pas être obligatoire de la spécialité SIT, un ingénieur en SI n'est pas obligé d'apprendre ce module! ",/,PGI,G,N,M,NE
Le prof présente le TD comme s'il était un cours je m'ennuie vraiment,/,ELECT,Pr,N,E,NE
Contenu de TD bien détaillé et compréhensible.,/,ELECT,C,P,J,NE
TD bien organisé ,/,ELECT,S,P,J,NE
design simple ça me dérange pas,/,ELECT,D,P,J,NE
"la séance de TD passe presque sans contribution des étudiants, comme un enregistrement, au point que la diffusion se coupe et le prof quitte la réunion mais il continue à expliquer pendant des dizaines de minutes sans rien remarquer, c'est un signe d'absence d'animation de TD.",/,ELECT,CO,N,M,NE
ce td en ligne est très mal passé ,/,ELECT,G,N,M,NE
Je trouve que la présentation du cours est bien faite,/,ELECF2,Pr,P,J,NE
Le cours contient beaucoup d'informations peu importante,/,ELECF2,C,N,M,NE
Le cours est bien organisé,/,ELECF2,S,P,J,NE
Le cours contient trop de couleurs ,/,ELECF2,D,N,M,NE
Bonne méthode de communication,/,ELECF2,CO,P,J,NE
"Je n'arrive pas à assimiler les notions de cours car il contient beaucoup trop d'information, je me sens stressé",/,ELECF2,G,N,A,NE
Je n'aime pas la méthode de travail ,/,SFSD,Pr,N,M,NE
c'est énervant car le prof apprend les solutions par cœur et nous les présente directement sans explications,/,SFSD,C,N,C,H
L'ordre des exercices des tds a été respecté,/,SFSD,S,P,J,NE
Trop de texte avec un font illisible,/,SFSD,D,N,M,NE
Le prof nous demande de participer en ligne alors qu'on n'a toujours rien compris,/,SFSD,CO,N,M,NE
Je n'ai rien appris de ce cour,/,SFSD,G,N,M,NE
"la présentation du cours a été bien faite on sent que le professeur du module fait un maximum d'efforts pour que ca soit le plus interactif possible, j'aime bien ",/,ANAL3,Pr,P,J,A
j'aurais bien aimé que les exemples soient plus nombreux ,/,ANAL3,C,N,M,NE
"les cours abordés en ligne dans ce module sont bien structurés c.-à-d. : définitions ,théorèmes  et exemples ce qui permet de bien suivre le cours et acquérir les informations dans l'ordre ",/,ANAL3,S,P,J,NE
"le cours ne contient pas d'animation , mais vu que c'est un module mathématique je pense que le design minimaliste est le plus adéquat ",/,ANAL3,D,P,J,NE
je préfère la méthode de dialogue directe avec l'enseignant mais je suppose que notre enseignant de cours répond en temps réel aux questions mise dans le chat donc ca devrait suffire ,/,ANAL3,CO,P,J,NE
beaucoup de connaissance à acquérir en une semaine mais cela est dû à la rentrée scolaire tardive en vue de la situation actuelle ,/,ANAL3,G,NE,NE,NE
"J'ai apprécié l'interaction qu'il y'a entre nous et le professeur, c'est un bon professeur",/,ANAL3,Pr,P,J,A
Il y'a trop d'erreurs de frappes dans les slides et qui dérangent et énervant énormément surtout quand c'est des erreurs dans les définitions,/,ANAL3,C,N,C,NE
Le cours est bien organisé,/,ANAL3,S,P,J,NE
"Les slides sont bien organisés, pas trop de texte et riches en exemple",/,ANAL3,D,P,J,NE
Très bonne interaction entre l'étudiant et le professeur,/,ANAL3,CO,P,J,NE
J'ai assimilé la majorité des points traités en cours,/,ANAL3,G,P,J,NE
"le prof arrive bien à transmettre son message, à nous poser des questions pertinentes qui nous aide beaucoup à comprendre et enrichir notre culture, c'est parmi les meilleurs profs",/,IGL,Pr,P,J,A
Le contenu de son cours est très riche et simple à comprendre,/,IGL,C,P,J,NE
"Son cours est bien structuré, il arrive bien à diviser les sections ce qui nous aide à arriver à ce qu'on a besoin très rapidement",/,IGL,S,P,J,NE
Son cours est riche en couleurs et photos ce qui rend l'apprentissage amusant,/,IGL,D,P,J,NE
Il nous exige d'utiliser le micro au lieu du texte qui ests pas toujours possible,/,IGL,CO,N,M,NE
C'est vraiment incroyable la quantité d'informations que j'apprends à la fin de son cours,/,IGL,G,P,J,NE
Il arrive bien à nous expliquer les différents algorithme par des schémas simple,/,RO,Pr,P,J,NE
Son cours est très riche en contenu,/,RO,C,P,J,NE
Son cours est mal organisé ce qui nous rend la révision un peu  difficile,/,RO,S,N,M,NE
"Son cours est très pauvre en matière de design, l'écriture utilisée n'est pas adéquate, absence de couleur et d'images",/,RO,D,N,M,NE
Il nous donne la liberté de communication,/,RO,CO,P,J,NE
Son cours reste très riche en général et très important,/,RO,G,P,J,NE
Je ne suis pas trop fan de la méthode de travail,/,ANAL1,Pr,N,M,NE
"Le prof perd trop de temps à réécrire les questions et les réponses sur Scientific Word, il ne prend pas le temps de préparer les exercices, on perd énormément de temps à le voir entrain de galérer à résoudre une question il est nul",/,ANAL1,C,N,M,H
On ne traite que peu d'exercices à cause du temps perdu ,/,ANAL1,S,N,M,NE
J'aime bien quand on travaille avec le Scientific Word,/,ANAL1,D,P,J,NE
"Il n'y avait pas d'interactions avec le professeur, puis d'une façon soudaine il a commencé à choisir des gens au hasard et les obliger à ouvrir leur microtel une dictature, sans respect de l'intimité des gens c'est vraiment agaçant",/,ANAL1,CO,N,C,H
"Le prof retient les solutions en tête et les réécrire sans nous apprendre comment penser et comment aborder les exercices du td, c'est un mauvais prof",/,ANAL1,G,N,M,H
J'aime bien la façon dont la prof présente son cours,/,SYST1,Pr,P,J,NE
Le contenu est très important,/,SYST1,C,P,J,NE
Manque d'organisation de sections et de grand titres,/,SYST1,S,N,M,NE
"Manque de couleurs, contient beaucoup de texte",/,SYST1,D,N,M,NE
Une liberté de choisir la façon de se communiquer,/,SYST1,CO,P,J,NE
Ça reste un cours très riche et très important,/,SYST1,G,P,J,NE
"Le professeur vas trop vite, j'ai du mal à assimiler tout ce qu'elle dit ",/,BWEB,Pr,N,M,NE
"Le contenu est plutôt intéressant, parfois je revois des notions que je connais déjà mais ce n'est pas très grave, ça reste enrichissant.",/,BWEB,C,P,J,NE
"Le professeur switch très rapidement entre la lecture du cours et l'application, que j'arrive pas à suivre proprement dit, je me sens perdu",/,BWEB,S,N,F,NE
Le cours contient énormément  de texte ,/,BWEB,D,N,M,NE
Le professeur répond directement au questions,/,BWEB,CO,P,J,NE
J'ai l'impression que c'est important ,/,BWEB,G,P,J,NE
"Même en présentiel je n'arrive pas à suivre, je trouve l'explication du professeur pas très bien organisé, et parfois ça tourne autour du pot que je me perd dans les explications. ",/,ARCHI1,Pr,N,F,H
C'est un module intéressant je dois dire ,/,ARCHI1,C,P,J,NE
Les slides sont bien structurés,/,ARCHI1,S,P,J,NE
Le  cours est assez aérer ,/,ARCHI1,D,P,J,NE
"Le professeur juge parfois les questions comme étant stupide et derrière il nous dit de poser toutes les questions qui nous passe par la tête, c'est très frustrant, le prof a un complexe  d'infériorité",/,ARCHI1,CO,N,A,H
"J'ai l'impression que le plus important pour le prof est d'avancer dans le programme sans s'assurer de la bonne compréhension des étudiants , dans ce module en particulier je n'arrive pas toujours à tout bien assimiler du premier coup je me sens tout le temps stressé, je dois toujours comprendre le cours d'autre source comme sur YouTube ",/,ARCHI1,G,N,A,H
"les études en ligne dans le modules d'électricité c'était très ennuyeux et mal former, le prof ne sais pas gérer le court en ligne",/,ELECT,Pr,N,E,H
ça sera mieux si le prof laisse la parole au étudiants plus qu'il parle ,/,ELECT,C,N,M,NE
Cours mal organisé,/,ELECT,S,N,M,NE
le cour a un beau design très organisé,/,ELECT,D,P,J,NE
"ça seras mieu si prof laisse la parole au étudiante plus qu'il parle lui même, c'est très ennuyant, on dirait c'est la seule personne qu'elle possède le droit de parler",/,ELECT,CO,N,E,H
"on a compris des choses quand savait même pas dans les derniers jours, c'est pas du tout organisé",/,ELECT,G,N,M,NE
"Les slides sont très explicites Et le professeur explique plutôt bien, j'aime bien ",/,ALSDS ,Pr,P,J,A
Le contenu est très intéressant ,/,ALSDS ,C,P,J,NE
Il est bien structuré ,/,ALSDS ,S,P,J,NE
C'est vrai qu'il y'a parfois beaucoup de texte mais dans l'ensemble c'est plutôt agréable à voir ,/,ALSDS ,D,P,J,NE
Le professeur est plutôt proche des étudiants et prend en considération toutes les questions généralement ,/,ALSDS ,CO,P,J,NE
"Il faut toujours revoir le cours de son côté car il contient beaucoup d'informations, il faut aussi énormément de pratique , c'est une question de gestion du temps mais que je ne maîtrise pas pour l'instant ",/,ALSDS ,G,NE,NE,NE
Cours très mal présenté,/,ECON,Pr,N,M,NE
"Beaucoup de slides peuvent être rétrécis, aucune interaction avec l'étudiant",/,ECON,C,N,M,NE
"La numérotation des chapitres est différente d'un prof à l'autre, c'est du n'importe quoi de la part des profs",/,ECON,S,N,M,H
Le slide est extrêmement chargé en texte avec un fond noir gras illisible,/,ECON,D,N,M,NE
J'aurais préféré qu'il y ait une interaction avec l'étudiant au lieu de lire les slides un par un car c'est devenu insupportable,/,ECON,CO,N,C,NE
De toute la promo il n'y en a pas un qui a assimilé un cours de ce module,/,ECON,G,N,M,NE
Présentation simplifiée et progressive à un rythme très acceptable,/,SYST1,Pr,P,J,NE
Un cours riche en exemples simples et intéressants utilisés dans le domaine technique ,/,SYST1,C,P,J,NE
Cours bien structuré avec progression séquentielle,/,SYST1,S,P,J,NE
Il y a peu de couleurs  et d'images ,/,SYST1,D,N,M,NE
bonne communication entre le prof et les étudiants,/,SYST1,CO,P,J,NE
beaucoup de connaissances utiles dans ce cours,/,SYST1,G,P,J,NE
"J'apprécie beaucoup et infiniment les efforts de l'enseignante en écrivant tout le cours, en inclure les symboles mathématiques et tout.. sur Scientific Workplace. Elle a fait tout effort possible pour présenter la leçon de la meilleure façon possible",/,ANAL,Pr,P,J,A
Ce qui est présenté dans le cours est très cohérent avec le TD et les exos de devoirs ou examens.,/,ANAL,G,P,J,NE
Les cours  sont bien organisés et clairs,/,ANAL,S,P,J,NE
"Compréhensible et suffisant, ça reste MATHÉMATIQUE et pas un beau art.",/,ANAL,D,P,J,NE
"La communication est bonne, les étudiants sont obligés à participer au déroulement de cours la prof est excellente.",/,ANAL,CO,P,J,A
"Je suis très satisfait des efforts faits par l'enseignante, et surtout avec les questionnaires qu'elle envoie parfois, ils nous obligent à être toujours Intégrés avec le cours et ne pas les laisser au derniers jours.",/,ANAL,G,P,J,A
La présentation du cours  n'était pas très intéressante et je la trouve inutile et on n'a pas eu le temps pour tout faire en td,/,SFSD,Pr,N,M,H
On aurait aimé avoir plus d'exemples et plus d'exos,/,SFSD,C,NE,NE,NE
Oui le cours était bien structuré d'une façon ou d'une autre,/,SFSD,S,P,J,NE
Un powerpoint sans couleur sans rien du tout. Ils pourraient faire un effort au moins pour ça car c'est ennuyant ,/,SFSD,D,N,E,H
Le prof était sympathique,/,SFSD,CO,P,J,A
Je n'arrive pas à faire des exercices moi même sans aide je comprends pas bien durant le cours ça me stresse,/,SFSD,G,N,A,NE
 présentation pas suffisamment clair. outils (digital whiteboard par ex) non-exploité et il y'a parfois des coupures de diffusion. Très rapide (Programme assez volumieux que le volume horaire donné pour l'EAD) ,/,ARCH,Pr,N,M,NE
"Un peu loin de ce que nous avons besoin, des détails pas nécessaires.",/,ARCH,C,N,M,NE
"On perd beaucoup de temps sur des notions qui ne sont pas assez importants, et le contraire.",/,ARCH,Pr,N,M,NE
J'aime le découpage des parties de cours et les diapos.,/,ARCH,D,P,J,NE
"communication pas toujours productive, les étudiants posent les mêmes questions mais par différentes manières, cela veut dire qu'il ne profite pas de ce que ses collègues posent, peut être ils n'écoutent pas bien, ou il y a rien à écouter!  c'est énervant",/,ARCH,CO,N,C,NE
Tout pourrait être mieux pour un module assez intéressant et aussi important.,/,ARCH,G,NE,NE,NE
J'ai aimé la présentation du cours,/,ALG,Pr,P,J,NE
Le contenu des cours était très important donc il fallait donner plus de détails pour mieux comprendre,/,ALG,C,N,M,NE
Les cours étaient bien structurés,/,ALG,S,P,J,NE
Il lui manque des exemples dans certains notions,/,ALG,D,N,M,NE
Les enseignants n'avaient pas suffisamment de temps pour répondre à toutes les questions dommage,/,ALG,CO,N,M,NE
J'avais du mal à comprendre certaines notions ça m'angoisse,/,ALG,G,N,A,NE
J'aime pas  la façon de présenter et expliquer ce cours,/,ORGA,Pr,N,M,H
j'ai pas aimé le contenu aussi,/,ORGA,C,N,M,H
j'arrive pas à comprendre le but de ce cours ou bien je dirait il a pas de but,/,ORGA,G,N,M,H
un cour avec un désign qui est très classique,/,ORGA,D,N,M,NE
communication ennuyante avec le prof,/,ORGA,CO,N,E,H
La présentation est acceptable et compréhensible.,/,RES1,Pr,P,J,NE
Les notions abordées sont très importantes et nous apportent de nouvelles connaissances,/,RES1,C,P,J,NE
La structure est dans un bon ordre,/,RES1,S,P,J,NE
Quelques slides du cours sont mal organisés,/,RES1,D,N,M,NE
Il y a pas assez de communication entre le prof et ses étudiants,/,RES1,CO,N,M,NE
Ce cours et le prof sont bien aimés de la part des étudiants,/,RES1,G,P,J,A
"J'ai beaucoup aimé la façon dont le cours se déroulent, et surtout les TDs car j'avais le prof  nous laissait la main pour animer la séance pour quelle soit dynamique et énergétique je l'adore",/,ALSDS,Pr,P,J,A
Le cours est complet je trouve avec plein d'exemples illustratifs,/,ALSDS,C,P,J,NE
"Chaque cours a besoin du précédent, ce qui est bien",/,ALSDS,S,P,J,NE
"Les slides sont attirants et pas monotones, donc pas ennuyeux",/,ALSDS,D,P,J,NE
Très bonne communication,/,ALSDS,CO,P,J,NE
 j'ai beaucoup aimé etuider en ligne le module Alsds et suivre avec notre gentil prof ,/,ALSDS,G,P,J,A
Le TD était bénéfique en complément avec le cours. Le professeur a pris son temps pour bien expliquer les notions une à une. Elle a utilisé un outil visuel pour nous aider à visualiser tous les cas possible je l'aime bien,/,PRST,Pr,P,J,A
  il contient des notions importantes pour nos cursus.,/,PRST,C,P,J,NE
"Ce module était bien structuré, les notions accompli l'une après l'autre dans un ordre logique.",/,PRST,S,P,J,NE
La présentation du cours contient beaucoup de texte et absolument pas de couleurs.,/,PRST,D,N,M,NE
"Le professeur nous a donné le choix d'intervenir au moment qu'on a de question pour mieux comprendre ce qui suit, c'était pratique.",/,PRST,CO,P,J,NE
Quelques notions dans le dernier chapitre était un peu difficile à comprendre en ligne.,/,PRST,G,N,M,NE
"elle est intéressante et limitée par seulement ce dont nous avons besoin, nous sommes jamais perdus dans des sujets qui ne nous concernent pas  j'adore le prof",/,ALSDS,Pr,P,J,A
"Il contient exactement ce que nous avons besoin, pas plus et pas moins.",/,ALSDS,C,P,J,NE
Cours bien organisé et ne demande pas beaucoup d'efforts pour le naviguer.,/,ALSDS,S,P,J,NE
"Classique mais toujours intéressant, j'aime beaucoup la couleur douce de l'arrière plan qui ne me fait pas mal aux yeux",/,ALSDS,D,P,J,NE
"Parfois l'enseignant ne comprends pas vraiment ce que nous voulons savoir, c'est peut être dû à son exigence d'utiliser seulement le français.",/,ALSDS,CO,N,M,NE
"Malgré tout, je me sens bien formé après avoir passé seulement trois mois en étudiant ce module. C'est surtout grâce à mon professeur",/,ALSDS,G,P,J,A
Je trouve que la présentation de ce cours se fait d'une manière un peu chaotique ( plusieurs idées présentées à la fois sans être logiquement ou séquentiellement chainées) ça m'angoisse ,/,ALG,Pr,N,A,NE
le contenu du cours est important,/,ALG,C,P,J,NE
Ce cours est mal organisé Malheureusement.,/,ALG,S,N,M,NE
"le cours se fait sur un tableau, il est flou la plupart du temps et le prof l'efface rapidement sans se soucier de nous; ce qui est écrit sur le tableau n'est pas organisé et n'est pas du tout attractive ",/,ALG,D,N,M,H
très bonne communications entre le prof et les étudiants,/,ALG,CO,P,J,NE
"je ne comprends ce module qu'après faire le cours moi même, je sors de la séance avec presque 0 informations j'aime pas le prof il m'agace",/,ALG,G,N,C,H
La présentation du cours est bonne,/,SFSD,Pr,P,J,NE
contenu avec un peu d'exemples,/,SFSD,C,N,M,NE
le cours est bien structuré en général,/,SFSD,S,P,J,NE
la majorité est en noire ou le rouge j'aime pas trop,/,SFSD,D,N,M,NE
il y a pas de problème concernant la relation entre le prof et l'étudiant,/,SFSD,CO,P,J,NE
mais malheureusement 70%du temps j'arrive pas a comprendre ça me stresse,/,SFSD,G,N,A,NE
"La présentation du cours est très longue, je la trouve lourde le prof parle trop pour rien",/,IGL,Pr,N,E,H
"Le contenu de ce cours me semble un peu trop abstrait de temps en temps, ça nécessite beaucoup plus d'exemples",/,IGL,C,N,M,NE
L'ordre de ce cours est très logique,/,IGL,S,P,J,NE
Les images et les schémas sont parfois difficiles à comprendre et assimiler. On peut pas les comprendre sans une explication profonde de la part du prof,/,IGL,D,N,M,NE
"J'aime pas le fait que le prof pose des questions sur chaque aspect du cours et attend jusqu'à ce que les étudiants lui répondent, les réponses des étudiants parfois me distraient et par la suite j'arrive pas à bien assimiler la bonne information ça me stresse",/,IGL,CO,N,A,NE
Le cours est plein d'informations j'aime trop,/,IGL,G,P,J,NE
"les slides du cours sont beaux , lisibles et faciles à comprendre",/,IGL,D,P,J,NE
Les notions pourraient être mieux expliquer surtout dans les dernières semaines,/,IGL,C,NE,NE,NE
l'ordre du cours était très logique,/,IGL,S,P,J,NE
"les couleurs des slides sont attractives , avec un peu de texte ce qui les rend plus lisibles",/,IGL,D,P,J,NE
la méthode d'interroger les étudiants était motivante à réfléchir j'aime trop comment le prof se comporte avec nous,/,IGL,CO,P,J,A
la quantité des informations dans les dernières semaines a augmenté et le rythme des cours a accéléré trop vite et c'est stressant,/,IGL,G,N,A,NE
"J'aime bien la présentation de ce cours, l'enseignant a bien expliqué toutes les notions clairement avec plein d'exercices.",/,FASI,Pr,P,J,A
Contenu important avec des exemples,/,FASI,C,P,J,NE
Bien organisé.,/,FASI,S,P,J,NE
Le design n'a pas d'importance dans ce cours,/,FASI,D,NE,NE,NE
Très bonne communication entre le prof et les étudiants. En utilisant Google meet qui permet la discussion vocale et interactif au moment où le prof explique.,/,FASI,CO,P,J,NE
c'est difficile de comprendre analyse en ligne,/,ANAL,G,N,A,NE
le contenu est important mais il est trop résumé,/,ANAL,C,N,M,NE
c'est organisé,/,ANAL,S,P,J,NE
design simple et lisible,/,ANAL,D,P,J,NE
les questions sont à la fin c'est vraiment stressant des fois on aura même pas du temps pour ça ,/,ANAL,CO,N,A,NE
on étudie beaucoup de choses en à peine une heure ça m'angoisse j'arrive pas à tout assimiler,/,ANAL,G,N,A,NE
Ce cours a toujours été bien présenté,/,ANAL,Pr,P,J,NE
"Le cours comporte des exemples explicites, pas d'ambiguïté.",/,ANAL,C,P,J,NE
Le cours est bien structuré.,/,ANAL,S,P,J,NE
 lors des démonstrations  je trouve que ça était un peu mal structuré en terme d'écriture et d'organisation .,/,ANAL,S,N,M,NE
"L'utilisation de plusieurs couleurs était bénéfique, on trouve certains schémas aussi ce qui aide à rapprocher le concept j'aime trop",/,ANAL,D,P,J,NE
"J'aime la méthode de dialogue faite par l'enseignant en ligne, après la fin de la séance.",/,ANAL,CO,P,J,NE
"Sincèrement je n'ai acquis que quelques connaissances durant les cours en ligne, je préfère ceux qui sont faits en présentiel.",/,ANAL,G,N,M,NE
J'adore la présentation de ce cours,/,BDA,Pr,P,J,NE
Contenu très enrichissant et intéressant,/,BDA,C,P,J,NE
Cours bien organisé et structuré ,/,BDA,S,P,J,NE
Cours bien animé j'aime bien son design,/,BDA,D,P,J,NE
Je n'aime pas du tout la présentation du cours,/,SIAD,Pr,N,M,NE
Le contenu doit être abrégé il y a beaucoup de notions inutiles,/,SIAD,C,N,M,NE
Très mal organisé,/,SIAD,S,N,M,NE
Les slides sont chargés avec du texte et des photos placés un peu partout,/,SIAD,D,N,M,NE
L'enseignant communique assez bien avec les étudiants,/,SIAD,CO,P,J,NE
J'ai appris beaucoup de savoir être a travers ce module,/,SIAD,G,P,J,NE
J'aime bien la présentation,/,ELEF2,Pr,P,J,NE
"C'est riche en exemples et en détails, j'aime bien",/,ELEF2,C,P,J,NE
Le td est bien organisé,/,ELEF2,S,P,J,NE
"Ça manque un peu de couleurs, car trop de calcul en noir ça donne mal aux yeux",/,ELEF2,D,N,M,NE
Il y'a une très bonne interaction avec le professeur,/,ELEF2,CO,P,J,NE
J'ai appris beaucoup de choses avec ce td,/,ELEF2,G,P,J,NE
J'aime bien la présentation du cours,/,ELEF2,Pr,P,J,NE
Je pense que toutes les notions sont importantes dans ce cours,/,ELEF2,C,P,J,NE
L'ordre chronologique des chapitres est bien structuré,/,ELEF2,S,P,J,NE
"Il y'a beaucoup trop de calculs et de formules, ça devient très ennuyeux à regarder. La partie théorique est bien mieux",/,ELEF2,D,N,E,NE
Il y'a une bonne communication avec le professeur,/,ELEF2,CO,P,J,NE
Je n'ai pas tout compris dans ce module mais le cours est assez bien présenté,/,ELEF2,G,P,J,NE
J'aime la présentation du td,/,PRST1,Pr,P,J,NE
"On traite beaucoup d'exemples, bien détaillés",/,PRST1,C,P,J,NE
Le td est bien organisé,/,PRST1,S,P,J,NE
Les solutions du td sont simples et bien faites,/,PRST1,D,P,J,NE
Il y'a une très bonne communication avec l'enseignant,/,PRST1,CO,P,J,NE
J'ai tout appris dans ce module grâce au prof du td. La gentillesse ça paye,/,PRST1,G,P,J,A
Je n'aime pas ni la présentation n i la façon de parler du prof c'est ennuyant,/,PRST1,Pr,N,E,H
"Il y'a trop de formules et de calculs sans importances, on perd trop d'énergie à essayer de comprendre ces notions lesquelles au final on n'utilisera pas du tout dans les exercices",/,PRST1,C,N,M,NE
Le cours est bien organisé,/,PRST1,S,P,J,NE
"Le cours contient beaucoup trop de texte, avec une police noire toute petite, c'est très fatiguant et ennuyant à lire",/,PRST1,D,N,E,NE
"Le professeur répond à toutes les questions avec une grande gentillesse, il y'a une bonne communication j'aime bien",/,PRST1,CO,P,J,A
Je n'ai rien retenu de ce cours j'aime pas aimé le distanciel ,/,PRST1,G,N,M,NE
Le td est bien présenté,/,ARCH2,Pr,P,J,NE
"On ne traite qu'un ou deux exos par séries de TD, ce qui extrêmement insuffisant à mon avis",/,ARCH2,C,N,M,NE
"Le td est bien structuré, dans un bon ordre",/,ARCH2,S,P,J,NE
"La présentation est assez captivante, lisible et bien structuré",/,ARCH2,D,P,J,NE
Une très bonne communication entre le professeur et l'étudiant,/,ARCH2,CO,P,J,NE
J'ai acquis beaucoup de notions grâce à ce td et à la gentillesse de l'enseignante,/,ARCH2,G,P,J,A
"J'adore la présentation, l'énergie et sur tout que le professeur aime ce qu'il fait",/,ANAL3,Pr,P,J,A
Contenu facile à comprendre ,/,ANAL3,C,P,J,NE
Organisation parfaite,/,ANAL3,S,P,J,NE
design simple et lisible rien à dire,/,ANAL3,D,P,J,NE
Y a de la communication entre nous j'adore la motivation du professeur,/,ANAL3,CO,P,J,A
Je comprends très bien j'ai adoré toutes les séances faites en ligne,/,ANAL3,G,P,J,NE
Le cours est très bien présenté,/,ARCH2,Pr,P,J,NE
"j'aime pas trop le contenu ça aurait été mieux si le professeur gardait les slides bien commentés, vu qu'ils sont généralement sans commentaires mais on gribouille dessus durant le cours pour mieux comprendre",/,ARCH2,C,N,M,NE
"Le cours est très bien organisé, chaque chapitre nécessite des connaissances des chapitres qui le précédent",/,ARCH2,S,P,J,NE
"Le cours contient peu de texte et beaucoup de schémas, il est aussi divisé en plusieurs parties ce qui permet d'étudier chaque chapitre partie par partie",/,ARCH2,D,P,J,NE
"Le prof est toujours à l'écoute, j'aime cette interaction",/,ARCH2,CO,P,J,A
J'ai assimilé la majorité des concepts dans ce cours grâce à la méthode du prof,/,ARCH2,G,P,J,A
"J'aime bien ce cours, il est bien présenté, et pas ennuyeux du tout",/,ANG2,Pr,P,J,NE
"Le contenu est très important vu qu'il traite de l'informatique en anglais, avec peu de leçon de grammaire et de conjugaison",/,ANG2,C,P,J,NE
"Le cours est bien structuré, d'une part il y'a de bons audios qui aide à la compréhension, de bon textes et des questions pertinentes relatives à ces textes ",/,ANG2,S,P,J,NE
"Les slides sont bien structurés, simples, lisibles, pas trop de couleurs et surtout pas très chargés",/,ANG2,D,P,J,NE
"Il y'a une bonne interaction entre l'étudiant et l'enseignant, des questions-réponses tout au long de la séance",/,ANG2,CO,P,J,NE
J'ai appris beaucoup de choses grâce à ce module,/,ANG2,G,P,J,NE
"J'aime la façon dont le professeur propose ses idées même si tous le cour est écrit au PDF, il nous attire toujours en cachant des points avant les expliqués ou en nous posant des questions avant de lire le cours, c'est prof très intelligente",/,ANAL3,Pr,P,J,A
Le contenu est suffisant pour la compréhension ,/,ANAL3,C,P,J,NE
 j’aime vraiment ce cours il est bien structuré et dans un ordre très logique.,/,ANAL3,S,P,J,NE
Il n'y a pas actuellement beaucoup de couleurs ou schéma dans la présentations de cours mais le professeur utilise le JAMBORD donc c'est un peu mieux,/,ANAL3,D,P,J,NE
"Elle vérifie constamment nos question au cours de son explication, j'adore cette prof ",/,ANAL3,CO,P,J,A
"Je comprends presque tous les points présentés, c'est très bien",/,ANAL3,G,P,J,NE
elle présente et explique bien j'aime,/,BWEB,Pr,P,J,A
j'aime pas beaucoup car c'est pas très important au début,/,BWEB,C,N,M,NE
le cours était  organisé ,/,BWEB,S,P,J,NE
Il y a peu d'images et schémas,/,BWEB,D,N,M,NE
je préfère la méthode de dialogue faite par l'enseignant ,/,BWEB,CO,P,J,NE
le cours était ennuyeux ,/,BWEB,G,N,E,NE
La présentation est un peu ennuyeuse et compliquée ,/,PRST1,Pr,N,E,NE
"C'est bon il y a beaucoup d'informations dans la présentation, j'aurais aimé s'il y avait plus d'exemples",/,PRST1,C,N,M,NE
Il est bien structuré ,/,PRST1,S,P,J,NE
